City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Palauig,PH,83.62,few clouds,15.435,119.9045,Palauig
3,Bonthe,SL,75.6,broken clouds,7.5264,-12.505,Bonthe
6,Lorengau,PG,80.78,overcast clouds,-2.0226,147.2712,Lorengau
11,Bandarbeyla,SO,77.92,broken clouds,9.4942,50.8122,Bandarbeyla
13,Mapiripan,CO,76.6,broken clouds,2.8892,-72.1256,Mapiripán
14,Bowen,AU,85.33,light rain,-20.0167,148.2333,Bowen
17,Rikitea,PF,79.97,clear sky,-23.1203,-134.9692,Rikitea
20,Souillac,MU,84.58,scattered clouds,-20.5167,57.5167,Souillac
21,Codrington,AU,75.4,overcast clouds,-38.2667,141.9667,Yambuk
26,Atuona,PF,78.76,few clouds,-9.8,-139.0333,Atuona
36,Saint-Joseph,RE,82.78,overcast clouds,-21.3667,55.6167,Saint Joseph
42,Nieuw Amsterdam,SR,78.03,overcast clouds,5.8833,-55.0833,Paramaribo
44,Hithadhoo,MV,83.3,few clouds,-0.6,73.0833,Addu City
49,Kavieng,PG,83.25,moderate rain,-2.5744,150.7967,Kavieng
52,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Alofi
54,Bambous Virieux,MU,84.45,light rain,-20.3428,57.7575,Vieux Grand Port
55,Hobyo,SO,79.77,scattered clouds,5.3505,48.5268,Hobyo
56,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Nukuhetulu
70,Tagusao,PH,83.59,overcast clouds,9.1924,117.8141,Quezon
79,Pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,Pitimbu
81,Samarai,PG,80.35,moderate rain,-10.6167,150.6667,Magesina
82,Zaraza,VE,75.88,overcast clouds,9.3503,-65.3245,Zaraza
101,Trincomalee,LK,81.39,few clouds,8.5711,81.2335,Trincomalee
102,Picsi,PE,75.79,light rain,-6.7178,-79.7697,Picsi
104,Champerico,GT,82.35,few clouds,14.3,-91.9167,Champerico
105,Amahai,ID,87.28,broken clouds,-3.3333,128.9167,Amahai
106,Andapa,MG,79.0,overcast clouds,-14.65,49.65,Andapa
115,Mackay,AU,87.04,light rain,-21.15,149.2,Mackay
117,Busselton,AU,80.71,few clouds,-33.65,115.3333,Busselton
118,Kapaa,US,76.98,few clouds,22.0752,-159.319,Kapaʻa
122,Parakai,NZ,78.22,broken clouds,-36.65,174.4333,Helensville
123,Champasak,LA,86.88,broken clouds,14.75,106.0,Thang Beng
125,Butaritari,KI,82.04,few clouds,3.0707,172.7902,Ukiangang
126,Saint-Pierre,RE,83.88,clear sky,-21.3393,55.4781,Saint Pierre
131,Georgetown,MY,85.93,few clouds,5.4112,100.3354,George Town
134,Maragogi,BR,78.33,overcast clouds,-9.0122,-35.2225,Maragogi
135,Atambua,ID,76.84,overcast clouds,-9.1061,124.8925,Atambua
137,Acapulco,MX,78.62,scattered clouds,16.8634,-99.8901,Acapulco
141,Dingle,PH,85.55,overcast clouds,10.9995,122.6711,Pototan
142,Ambulu,ID,83.84,scattered clouds,-8.345,113.6058,Sabrang
146,Port-Gentil,GA,81.16,overcast clouds,-0.7193,8.7815,Port-Gentil
150,Bengkulu,ID,84.34,overcast clouds,-3.8004,102.2655,Bengkulu
153,Kapoeta,SS,78.75,overcast clouds,4.7717,33.5903,Kapoeta
156,Saint-Philippe,RE,83.79,overcast clouds,-21.3585,55.7679,Saint-Philippe
158,Imbituba,BR,80.49,overcast clouds,-28.24,-48.6703,Imbituba
161,Bathsheba,BB,75.81,broken clouds,13.2167,-59.5167,Wilson Hill
164,Honiara,SB,85.06,light rain,-9.4333,159.95,Honiara
185,San,ML,77.22,clear sky,13.3034,-4.8956,San
190,Tarakan,ID,85.5,light rain,3.3,117.6333,Tarakan
193,Carnarvon,AU,86.07,scattered clouds,-24.8667,113.6333,Carnarvon
195,Moerai,PF,81.21,overcast clouds,-22.4333,-151.3333,Moerai
215,Belmonte,BR,75.7,few clouds,-15.8631,-38.8828,Belmonte
229,Vao,NC,79.36,overcast clouds,-22.6667,167.4833,Vao
231,San-Pedro,CI,75.6,few clouds,4.7485,-6.6363,San-Pedro
233,Avarua,CK,82.45,overcast clouds,-21.2078,-159.775,Avarua District
235,Ouegoa,NC,75.49,light rain,-20.35,164.4333,Ouegoa
237,Koungou,YT,83.91,light rain,-12.7336,45.2042,Mamoudzou
241,Namibe,AO,76.41,overcast clouds,-15.1961,12.1522,Namibe
243,Trenggalek,ID,85.75,light rain,-8.05,111.7167,Trenggalek
251,Taoudenni,ML,77.0,overcast clouds,22.6783,-3.9836,Taoudenni
253,Omboue,GA,78.03,overcast clouds,-1.5746,9.2618,Omboue
256,Isangel,VU,82.51,overcast clouds,-19.55,169.2667,Isangel
264,Quelimane,MZ,80.55,scattered clouds,-17.8786,36.8883,Quelimane
266,Road Town,VG,75.29,clear sky,18.4167,-64.6167,Road Town
267,Kieta,PG,85.14,light rain,-6.2167,155.6333,Kieta
293,Panalingaan,PH,86.16,broken clouds,8.7842,117.4231,Rizal
295,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,Touros
296,Bajil,YE,76.82,broken clouds,15.0584,43.2851,باجل
298,Byron Bay,AU,77.11,moderate rain,-28.65,153.6167,Byron Bay
310,Hambantota,LK,88.11,clear sky,6.1241,81.1185,Hambantota
317,Celestun,MX,75.24,scattered clouds,20.8667,-90.4,Celestún
318,Bonoua,CI,78.42,few clouds,5.2741,-3.595,Bonoua
321,Mahebourg,MU,84.49,scattered clouds,-20.4081,57.7,Mahebourg
323,Puerto Escondido,MX,78.64,clear sky,15.85,-97.0667,Puerto Escondido
334,Geraldton,AU,81.01,few clouds,-28.7667,114.6,Geraldton
335,Pandaria,IN,83.57,clear sky,22.2333,81.4167,Pandariya
338,Fort Wellington,GY,76.05,overcast clouds,6.4,-57.6,Fort Wellington
350,Uttaradit,TH,81.36,clear sky,17.6667,100.5,Pha Lueat
352,Totness,SR,76.24,overcast clouds,5.8833,-56.3167,Totness
353,Kavaratti,IN,81.16,broken clouds,10.5669,72.642,Kavaratti
354,Meulaboh,ID,78.21,overcast clouds,4.1363,96.1285,Meulaboh
358,Vila Velha,BR,75.94,few clouds,-20.3297,-40.2925,Vila Velha
364,Tual,ID,82.69,scattered clouds,-5.6667,132.75,Tual
368,Noumea,NC,84.18,overcast clouds,-22.2763,166.4572,Nouméa
372,Sibu,MY,89.91,scattered clouds,2.3,111.8167,Sibu
378,Tautira,PF,84.22,scattered clouds,-17.7333,-149.15,Tautira
383,Wonthaggi,AU,83.19,overcast clouds,-38.6044,145.5913,Inverloch
385,Merauke,ID,86.16,overcast clouds,-8.4667,140.3333,Urum
386,Portobelo,PA,75.72,scattered clouds,9.55,-79.65,Portobelo
392,Kloulklubed,PW,82.9,broken clouds,7.0419,134.2556,Klouklubed
397,Katobu,ID,87.24,overcast clouds,-4.9408,122.5276,Kampani
405,Malindi,KE,78.96,broken clouds,-3.2175,40.1191,Malindi
409,Melipilla,CL,75.54,clear sky,-33.7,-71.2167,Melipilla
410,Presidencia Roque Saenz Pena,AR,78.98,scattered clouds,-26.7852,-60.4388,Presidencia Roque Sáenz Peña
412,Guantanamo,CU,75.27,scattered clouds,20.1444,-75.2092,Guantanamo
413,Labuhan,ID,84.54,moderate rain,-6.8844,112.2051,Musholla Babut Taubat
421,Lethem,GY,76.05,broken clouds,3.3803,-59.7968,Bonfim
428,Cap Malheureux,MU,84.69,few clouds,-19.9842,57.6142,Grand Baie
