City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Scottsbluff,US,41.8666,-103.6672,14.77,79,9,4.36,clear sky,2022-02-26 04:59:23
1,Husavik,IS,66.0449,-17.3389,37.31,72,19,19.39,few clouds,2022-02-26 04:59:24
2,Hobart,AU,-42.8794,147.3294,73.02,64,75,10.36,broken clouds,2022-02-26 04:56:14
3,Aklavik,CA,68.2191,-135.0107,-19.37,100,15,4.63,few clouds,2022-02-26 04:59:24
4,Roald,NO,62.5833,6.1333,39.34,56,75,13.8,light rain,2022-02-26 04:59:25
5,Tasiilaq,GL,65.6145,-37.6368,24.17,60,100,53.17,overcast clouds,2022-02-26 04:59:25
6,Kalmunai,LK,7.4167,81.8167,81.7,77,49,10.07,scattered clouds,2022-02-26 04:59:26
7,Upernavik,GL,72.7868,-56.1549,-12.89,85,89,5.59,overcast clouds,2022-02-26 04:59:26
8,Tuatapere,NZ,-46.1333,167.6833,56.82,48,10,7.05,clear sky,2022-02-26 04:59:26
9,Sitka,US,57.0531,-135.33,36.61,94,100,7.47,overcast clouds,2022-02-26 04:59:27
10,Leningradskiy,RU,69.3833,178.4167,12.87,95,100,5.86,overcast clouds,2022-02-26 04:59:27
11,Kaitangata,NZ,-46.2817,169.8464,56.93,48,6,13.11,clear sky,2022-02-26 04:59:27
12,Sabang,ID,5.8933,95.3214,79.99,82,88,22.7,overcast clouds,2022-02-26 04:59:27
13,Fortuna,US,40.5982,-124.1573,40.93,93,0,8.05,clear sky,2022-02-26 04:56:21
14,Portland,US,45.5234,-122.6762,39.61,60,21,11.01,few clouds,2022-02-26 04:57:15
15,Carnarvon,AU,-24.8667,113.6333,84.27,61,26,21.85,scattered clouds,2022-02-26 04:59:28
16,Mazyr,BY,52.0495,29.2456,30.83,86,14,5.21,few clouds,2022-02-26 04:59:28
17,Khomeyn,IR,33.6423,50.0789,42.85,71,4,3.49,clear sky,2022-02-26 04:59:29
18,Barrow,US,71.2906,-156.7887,-0.65,80,100,29.62,overcast clouds,2022-02-26 04:55:02
19,La Palma,US,33.8464,-118.0467,56.82,58,0,4.68,clear sky,2022-02-26 04:59:29
20,Ushuaia,AR,-54.8,-68.3,46.06,76,40,10.36,scattered clouds,2022-02-26 04:59:29
21,Saint-Philippe,RE,-21.3585,55.7679,83.79,84,90,9.55,overcast clouds,2022-02-26 04:59:30
22,Nikolskoye,RU,59.7035,30.7861,33.69,91,95,9.8,overcast clouds,2022-02-26 04:59:30
