City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nikolskoye,RU,2022-02-26 03:45:59,59.7035,30.7861,34.39,90,100,11.1
1,Hermanus,ZA,2022-02-26 03:43:33,-34.4187,19.2345,65.89,92,0,7.94
2,Pevek,RU,2022-02-26 03:45:59,69.7008,170.3133,-3.21,94,100,1.88
3,Vetapalem,IN,2022-02-26 03:46:00,15.7833,80.3167,80.46,55,11,7.61
4,Qasigiannguit,GL,2022-02-26 03:46:00,68.8193,-51.1922,1.65,98,100,6.15
5,Tukrah,LY,2022-02-26 03:46:00,32.5341,20.5791,49.64,76,0,4.97
6,Kapaa,US,2022-02-26 03:46:01,22.0752,-159.319,78.78,72,100,9.22
7,New Norfolk,AU,2022-02-26 03:46:01,-42.7826,147.0587,74.66,37,16,3.0
8,Constantine,DZ,2022-02-26 03:46:01,36.365,6.6147,40.41,87,40,0.0
9,Udachnyy,RU,2022-02-26 03:46:02,66.4167,112.4,-6.56,83,19,4.29
10,Albany,US,2022-02-26 03:44:04,42.6001,-73.9662,16.38,67,71,18.99
11,Hobart,AU,2022-02-26 03:42:55,-42.8794,147.3294,75.02,60,75,11.5
12,Clearlake,US,2022-02-26 03:46:02,38.9582,-122.6264,43.95,54,0,1.92
13,Severo-Kurilsk,RU,2022-02-26 03:46:02,50.6789,156.125,27.86,77,94,24.27
14,Amboasary,MG,2022-02-26 03:46:03,-25.0333,46.3833,75.04,82,100,2.68
15,Suzhou,CN,2022-02-26 03:46:03,31.3114,120.6181,58.87,47,0,7.96
16,Kassala,SD,2022-02-26 03:46:04,15.451,36.4,69.08,64,19,6.67
17,Sao Joao Da Barra,BR,2022-02-26 03:46:04,-21.6403,-41.0511,74.17,91,0,4.03
18,Arraial Do Cabo,BR,2022-02-26 03:46:04,-22.9661,-42.0278,75.4,86,10,7.09
19,Zaragoza,ES,2022-02-26 03:46:04,41.6561,-0.8773,43.02,64,0,6.91
20,Great Falls,US,2022-02-26 03:46:05,47.5002,-111.3008,22.39,57,0,18.41
21,Longyearbyen,SJ,2022-02-26 03:46:05,78.2186,15.6401,1.24,66,75,19.57
22,Lebu,CL,2022-02-26 03:46:05,-37.6167,-73.65,59.16,94,42,9.46
23,Rikitea,PF,2022-02-26 03:41:47,-23.1203,-134.9692,80.08,69,6,8.77
24,Chokurdakh,RU,2022-02-26 03:46:06,70.6333,147.9167,-4.94,98,100,4.88
25,Husavik,IS,2022-02-26 03:46:06,66.0449,-17.3389,37.31,70,19,20.15
26,Aksarka,RU,2022-02-26 03:46:06,66.5606,67.7975,15.62,90,100,12.08
27,Punta Arenas,CL,2022-02-26 03:42:17,-53.15,-70.9167,46.51,81,40,10.36
28,Naze,JP,2022-02-26 03:46:07,28.3667,129.4833,58.12,57,26,5.32
29,Ushuaia,AR,2022-02-26 03:46:07,-54.8,-68.3,46.06,81,40,14.97
30,Raglan,NZ,2022-02-26 03:46:08,-37.8,174.8833,81.09,55,1,9.57
31,Butaritari,KI,2022-02-26 03:46:08,3.0707,172.7902,82.02,77,21,17.81
32,Jamestown,US,2022-02-26 03:45:18,42.097,-79.2353,22.32,68,100,9.22
33,Khatanga,RU,2022-02-26 03:46:08,71.9667,102.5,-19.97,93,73,1.03
34,Najran,SA,2022-02-26 03:46:09,17.4924,44.1277,61.45,48,2,3.65
35,San Ramon De La Nueva Oran,AR,2022-02-26 03:46:09,-23.1322,-64.326,82.42,81,99,1.48
36,Kumluca,TR,2022-02-26 03:46:09,36.3703,30.2869,51.46,63,2,5.66
37,Carnarvon,AU,2022-02-26 03:46:10,-24.8667,113.6333,82.47,65,30,24.16
38,Deputatskiy,RU,2022-02-26 03:46:10,69.3,139.9,-8.48,95,100,3.85
39,Broken Hill,AU,2022-02-26 03:46:10,-31.95,141.4333,89.31,29,40,13.8
40,La Asuncion,VE,2022-02-26 03:46:11,11.0333,-63.8628,62.33,87,97,1.14
41,Berlevag,NO,2022-02-26 03:46:11,70.8578,29.0864,21.88,61,100,14.58
42,Chute-Aux-Outardes,CA,2022-02-26 03:46:11,49.1168,-68.399,-4.02,77,0,4.61
43,Namibe,AO,2022-02-26 03:46:12,-15.1961,12.1522,76.66,81,90,7.61
44,Westport,US,2022-02-26 03:45:03,41.1415,-73.3579,30.24,54,20,12.66
45,Cape Town,ZA,2022-02-26 03:43:51,-33.9258,18.4232,66.11,86,0,13.8
46,Vanavara,RU,2022-02-26 03:46:12,60.34,102.2797,21.42,89,99,3.94
